# sesion=6
# calib: refT1_pitch=76.12 refT1_roll=-0.27 refT12_pitch=90.00 refT12_roll=11.65 refRPSIS_pitch=90.00 refRPSIS_roll=-7.29
sesion,t_ms,t1_pitch,t1_roll,t12_pitch,t12_roll,rpsis_pitch,rpsis_roll,mala_T12,mala_T1,vibro_T12,vibro_T1
6,403,-0.85,0.03,0.00,-0.32,0.00,0.37,0,0,0,0
6,964,-0.35,-0.27,0.00,-0.44,0.00,0.35,0,0,0,0
6,1464,0.35,-0.20,0.00,-0.87,0.00,0.85,0,0,0,0
6,1964,0.24,-0.37,0.00,-0.71,0.00,0.51,0,0,0,0
6,2464,-1.44,-0.10,0.00,-0.74,0.00,0.51,0,0,0,0
6,2964,-3.25,-0.56,0.00,-0.96,0.00,0.68,0,0,0,0
6,3464,2.42,-1.59,0.00,-0.33,0.00,0.92,0,0,0,0
6,3964,-1.91,-3.81,-4.18,-1.32,0.00,3.14,0,0,0,0
6,4464,-3.99,-4.76,0.00,1.56,0.00,4.40,0,0,0,0
6,4964,9.17,-7.42,-0.77,-7.10,-45.52,3.01,0,0,0,0
6,5464,13.88,0.72,0.00,1.33,0.00,0.49,0,0,0,0
6,5964,4.67,-2.47,8.79,-1.64,-8.79,1.00,0,0,0,0
6,6464,-0.23,-0.71,0.00,-0.40,0.00,0.18,0,0,0,0
6,6964,0.76,-2.26,5.68,-1.15,-5.68,1.23,0,0,0,0
6,7464,-1.65,1.76,0.00,1.82,0.00,-2.16,0,0,0,0
6,7964,1.81,-2.08,8.32,-0.82,-8.32,1.52,0,0,0,0
6,8464,-2.32,-2.52,0.00,-0.31,0.00,0.49,0,0,0,0
6,8964,-1.51,-2.65,4.23,-0.86,-4.23,1.04,0,0,0,0
6,9464,-5.48,-1.46,0.00,-0.02,0.00,2.64,0,0,0,0
6,9964,1.96,-1.25,8.23,-0.32,-8.23,0.90,0,0,0,0
6,10464,-0.97,-1.68,4.76,-0.47,-4.76,0.80,0,0,0,0
6,10964,-1.15,-1.62,5.68,-0.59,-5.68,0.96,0,0,0,0
6,11464,-2.16,-2.47,5.82,-1.03,-5.82,0.87,0,0,0,0
6,11964,-3.24,-2.43,2.24,-0.46,-2.24,1.08,0,0,0,0
6,12464,0.62,-1.92,5.54,-0.51,-5.54,1.08,0,0,0,0
6,12964,-4.76,-1.91,1.35,-0.39,-1.35,1.35,0,0,0,0
6,13464,-0.97,-1.83,4.93,0.28,-4.93,1.32,0,0,0,0
6,13964,0.26,-2.36,5.82,-0.34,-5.82,1.06,0,0,0,0
6,14464,-3.45,-2.90,2.57,-0.61,-2.57,1.15,0,0,0,0
6,14964,-4.98,-2.23,2.24,-0.39,-2.24,0.83,0,0,0,0
6,15464,-5.81,-3.37,0.46,-0.57,-0.46,1.21,0,0,0,0
6,15964,-1.58,-2.46,7.29,-0.58,-7.29,1.21,0,0,0,0
6,16464,-3.60,-1.39,2.87,0.36,-2.87,1.23,0,0,0,0
6,16964,-5.05,-1.62,0.00,0.39,0.00,1.27,0,0,0,0
6,17464,-1.87,-2.07,3.61,-0.22,-3.61,1.53,0,0,0,0
6,17964,-4.90,-2.09,1.85,-0.07,-1.85,1.10,0,0,0,0
6,18464,-6.43,-2.16,0.00,-0.42,0.00,1.27,0,0,0,0
6,18964,1.25,-2.02,7.07,0.09,-7.07,1.30,0,0,0,0
6,19464,-7.18,-1.46,0.00,-0.17,0.00,1.20,0,0,0,0
6,19964,-1.15,-1.90,5.24,-0.05,-5.24,1.15,0,0,0,0
6,20464,-5.05,-2.36,0.00,-0.34,0.00,1.11,0,0,0,0
6,20964,-9.16,-0.16,0.00,0.69,0.00,1.06,0,0,0,0
6,21464,-2.57,-0.42,0.00,0.31,0.00,0.54,0,0,0,0
6,21964,-0.46,0.28,5.68,0.20,-5.68,1.51,0,0,0,0
6,22464,-3.89,0.33,0.46,0.10,-0.46,1.49,0,0,0,0
6,22964,-1.76,0.65,4.23,-0.15,-4.23,1.30,0,0,0,0
6,23464,-6.39,0.61,0.00,0.08,0.00,1.24,0,0,0,0
6,23964,-0.64,0.08,4.41,0.29,-4.41,1.11,0,0,0,0
6,24464,0.38,-0.09,7.40,-0.01,-7.40,1.23,0,0,0,0
6,24964,-2.00,0.55,3.14,0.06,-3.14,1.13,0,0,0,0
6,25464,-1.87,-0.19,4.03,-0.02,-4.03,1.17,0,0,0,0
6,25964,0.02,-0.04,5.24,-0.21,-5.24,1.42,0,0,0,0
6,26464,-2.56,0.20,4.03,0.09,-4.03,1.27,0,0,0,0
6,26964,-0.93,0.34,5.09,0.17,-5.09,1.07,0,0,0,0
6,27464,-1.06,-1.30,6.35,-0.95,-6.35,2.08,0,0,0,0
6,27964,-2.43,-0.47,3.14,0.25,-3.14,1.35,0,0,0,0
6,28464,-4.11,-0.61,2.24,0.16,-2.24,1.23,0,0,0,0
6,28964,-5.23,-0.76,0.00,0.02,0.00,1.31,0,0,0,0
