# sesion=8
# calib: refT1_pitch=67.51 refT1_roll=1.09 refT12_pitch=90.00 refT12_roll=7.50 refRPSIS_pitch=90.00 refRPSIS_roll=4.59
sesion,t_ms,t1_pitch,t1_roll,t12_pitch,t12_roll,rpsis_pitch,rpsis_roll,mala_T12,mala_T1,vibro_T12,vibro_T1
8,404,0.22,0.49,0.00,-0.14,0.00,-0.36,0,0,0,0
8,948,0.33,0.59,0.00,0.18,0.00,0.01,0,0,0,0
8,1448,0.44,1.25,0.00,0.68,0.00,-0.22,0,0,0,0
8,1948,0.00,0.55,0.00,0.10,0.00,0.22,0,0,0,0
8,2448,3.35,1.90,0.00,0.63,0.00,-0.20,0,0,0,0
8,2948,1.43,0.18,0.00,0.17,0.00,-0.17,0,0,0,0
8,3448,-0.04,0.55,0.00,0.38,0.00,-0.15,0,0,0,0
8,3948,1.28,0.91,0.00,0.51,0.00,-0.13,0,0,0,0
8,4448,-0.72,0.56,0.00,0.69,0.00,-0.14,0,0,0,0
8,4948,-0.40,0.59,0.00,-2.24,0.00,0.14,0,0,0,0
8,5448,0.82,1.57,0.00,2.15,0.00,-0.20,0,0,0,0
8,5948,0.11,-0.58,0.00,1.15,0.00,0.46,0,0,0,0
8,6448,-2.50,-2.62,0.00,-0.28,0.00,-0.14,0,0,0,0
8,6948,-4.73,0.21,0.00,1.17,0.00,-0.08,0,0,0,0
8,7448,-4.70,-1.22,0.00,1.27,0.00,-0.21,0,0,0,0
8,7948,0.29,-2.48,0.00,0.96,0.00,0.07,0,0,0,0
8,8448,-1.25,0.53,0.00,1.72,0.00,-0.03,0,0,0,0
8,8948,-1.52,-0.07,0.00,1.82,0.00,-0.03,0,0,0,0
8,9448,-2.00,-1.15,0.00,0.90,0.00,-0.20,0,0,0,0
8,9948,-1.42,-0.45,0.00,1.26,0.00,-0.25,0,0,0,0
8,10448,-0.65,0.53,0.00,1.10,0.00,-0.34,0,0,0,0
8,10948,0.00,-2.18,0.00,-1.00,0.00,-0.14,0,0,0,0
8,11448,0.11,-1.44,0.00,-0.20,0.00,-0.03,0,0,0,0
8,11948,-1.35,-0.41,0.00,0.07,0.00,-0.17,0,0,0,0
8,12448,2.67,-0.61,0.00,-0.30,0.00,-0.34,0,0,0,0
8,12948,0.82,-0.80,0.00,2.50,0.00,-0.18,0,0,0,0
8,13448,-0.25,0.24,0.00,5.02,0.00,-0.03,0,0,0,0
8,13948,-0.79,0.73,0.00,6.55,0.00,0.29,0,0,0,0
8,14448,-3.35,1.37,0.00,8.53,0.00,-0.32,0,0,0,0
8,14948,-3.83,0.63,0.00,9.49,0.00,-0.18,0,0,0,0
