# sesion=12
# calib: refT1_pitch=67.25 refT1_roll=1.54 refT12_pitch=90.00 refT12_roll=13.36 refRPSIS_pitch=90.00 refRPSIS_roll=-4.77
sesion,t_ms,t1_pitch,t1_roll,t12_pitch,t12_roll,rpsis_pitch,rpsis_roll,mala_T12,mala_T1,vibro_T12,vibro_T1
12,403,0.40,-0.69,0.00,-0.06,0.00,0.08,0,0,0,0
12,931,0.40,-0.50,0.00,-0.12,0.00,-0.13,0,0,0,0
12,1431,0.77,-0.57,0.00,0.24,0.00,-0.07,0,0,0,0
12,1931,-0.07,-0.29,0.00,-0.05,0.00,-0.15,0,0,0,0
12,2431,0.88,-1.58,0.00,-0.32,0.00,-0.14,0,0,0,0
12,2931,1.53,0.29,0.00,-0.15,0.00,-0.20,0,0,0,0
12,3431,3.43,2.02,0.00,0.28,0.00,-0.24,0,0,0,0
12,3931,-0.99,-1.15,0.00,-0.13,0.00,-0.22,0,0,0,0
12,4431,-0.89,0.34,0.00,-0.18,0.00,-0.37,0,0,0,0
12,4931,-0.82,-0.70,0.00,-0.72,0.00,0.01,0,0,0,0
12,5431,2.56,-0.89,0.00,-0.49,0.00,-0.14,0,0,0,0
12,5931,-4.99,-4.00,0.00,-0.50,0.00,0.10,0,0,0,0
12,6431,-2.21,-0.31,0.00,-0.18,0.00,-0.13,0,0,0,0
12,6931,-4.44,1.90,0.00,-0.81,0.00,-0.13,0,0,0,0
12,7431,-1.06,-0.18,0.00,-0.43,0.00,0.14,0,0,0,0
12,7931,-1.17,-0.48,0.00,1.94,0.00,0.28,0,0,0,0
12,8431,5.00,-0.04,-15.21,-2.36,-5.39,-0.11,1,0,0,0
12,8931,4.72,0.62,-14.85,-2.00,-6.84,0.06,1,0,0,0
12,9431,-1.78,-0.22,0.00,0.86,0.00,-0.08,0,0,0,0
12,9931,5.68,-0.15,-5.70,0.10,-8.03,-0.63,1,0,0,0
12,10431,-1.47,0.29,0.00,-0.69,0.00,-0.10,0,0,0,0
12,10931,-5.26,-0.34,-16.85,-3.17,0.00,-0.01,1,0,0,0
12,11431,-2.31,-0.24,0.00,-0.85,0.00,-0.10,0,0,0,0
12,11931,-1.71,-1.47,0.00,-1.06,0.00,1.11,0,0,0,0
12,12431,0.49,-0.11,2.87,0.47,-2.87,-0.32,0,0,0,0
12,12931,-1.44,-0.05,0.00,0.27,0.00,-0.29,0,0,0,0
12,13431,4.72,-0.26,7.72,1.10,-7.72,-0.28,0,0,0,0
12,13931,-2.51,-0.77,0.00,0.42,0.00,-0.03,0,0,0,0
12,14431,-3.63,0.14,0.00,0.38,0.00,-0.32,0,0,0,0
12,14931,-4.13,-0.06,0.00,0.41,0.00,-0.13,0,0,0,0
12,15431,-3.09,-0.14,0.00,0.73,0.00,-0.13,0,0,0,0
12,15931,-3.29,-0.06,0.00,0.67,0.00,-0.24,0,0,0,0
12,16431,-3.45,-0.04,0.00,0.89,0.00,-0.24,0,0,0,0
12,16931,-2.61,-0.36,0.00,0.68,0.00,-0.06,0,0,0,0
12,17431,-3.29,-0.52,0.00,0.64,0.00,-0.22,0,0,0,0
12,17931,-3.00,-0.84,0.00,0.33,0.00,-0.10,0,0,0,0
12,18431,-3.38,-1.04,0.00,0.43,0.00,0.06,0,0,0,0
12,18931,-3.51,-0.88,0.00,0.12,0.00,0.10,0,0,0,0
12,19431,-3.09,-0.43,0.00,0.31,0.00,-0.28,0,0,0,0
12,19931,-4.01,-0.29,0.00,1.03,0.00,-0.25,0,0,0,0
12,20431,-4.56,-1.16,0.00,0.62,0.00,-0.10,0,0,0,0
12,20931,-4.07,-1.57,0.00,-0.01,0.00,0.03,0,0,0,0
12,21431,-3.16,-1.40,0.00,-0.34,0.00,-0.29,0,0,0,0
12,21931,-2.61,-1.65,0.00,-0.07,0.00,-0.39,0,0,0,0
12,22431,-4.38,-1.80,0.00,-0.00,0.00,-0.07,0,0,0,0
12,22931,-3.60,-0.69,0.00,0.26,0.00,-0.10,0,0,0,0
12,23431,-4.41,-0.92,0.00,0.82,0.00,-0.15,0,0,0,0
12,23931,-4.35,-0.88,0.00,0.41,0.00,0.14,0,0,0,0
12,24431,-5.29,-0.88,0.00,-0.63,0.00,-0.07,0,0,0,0
12,24931,-4.72,-1.57,0.00,-0.01,0.00,-0.01,0,0,0,0
12,25431,2.55,-1.02,2.74,0.19,-7.29,0.25,0,0,0,0
12,25931,0.10,-2.62,9.83,-0.17,-9.83,0.67,0,0,0,0
12,26431,-13.00,-3.92,0.00,-0.50,0.00,0.24,0,1,0,0
12,26931,-12.66,-3.85,0.00,-1.00,0.00,0.44,0,1,0,0
12,27431,-13.09,-3.90,0.00,-0.65,0.00,0.31,0,1,0,0
12,27931,-12.83,-3.96,0.00,-0.74,0.00,0.17,0,1,0,0
12,28431,-13.47,-3.90,0.00,-0.69,0.00,0.15,0,1,0,0
12,28931,-14.89,-3.74,0.00,-0.60,0.00,0.31,0,1,0,0
12,29431,-14.04,-3.75,0.00,0.13,0.00,-0.07,0,1,0,0
12,29931,-14.13,-4.10,0.00,-0.42,0.00,0.49,0,1,0,0
12,30431,-15.40,-3.90,0.00,-0.39,0.00,0.34,0,1,0,0
12,30931,-14.60,-4.13,0.00,0.12,0.00,0.32,0,1,0,0
12,31431,-15.10,-5.38,0.00,0.07,0.00,0.53,0,1,0,0
12,31931,-15.08,-5.10,0.00,-0.49,0.00,0.56,0,1,0,0
12,32431,-15.35,-4.49,0.00,0.05,0.00,0.27,0,1,0,0
12,32931,-15.46,-4.97,0.00,-0.38,0.00,0.46,0,1,0,0
12,33431,-14.53,-5.10,0.00,0.07,0.00,0.58,0,1,0,0
12,33931,-15.35,-4.88,0.00,0.33,0.00,0.45,0,1,0,0
12,34431,-14.43,-4.87,0.00,0.04,0.00,0.44,0,1,0,0
