# sesion=21
# calib: refT1_pitch=63.94 refT1_roll=1.92 refT12_pitch=90.00 refT12_roll=-2.51 refRPSIS_pitch=90.00 refRPSIS_roll=1.13
sesion,t_ms,t1_pitch,t1_roll,t12_pitch,t12_roll,rpsis_pitch,rpsis_roll,mala_T12,mala_T1,vibro_T12,vibro_T1
21,403,0.68,-0.38,0.00,0.06,0.00,-0.20,0,0,0,0
21,1000,1.10,-0.13,0.00,-0.45,0.00,-0.14,0,0,0,0
21,1500,0.81,-0.20,0.00,0.36,0.00,-0.21,0,0,0,0
21,2000,-1.64,-0.38,0.00,-0.14,0.00,-0.24,0,0,0,0
21,2500,1.04,-0.46,0.00,-0.25,0.00,-0.20,0,0,0,0
21,3000,-0.44,-0.34,0.00,-0.42,0.00,0.10,0,0,0,0
21,3500,1.40,0.59,0.00,-0.36,0.00,-0.27,0,0,0,0
21,4000,-1.22,-0.84,0.00,-0.67,0.00,-0.22,0,0,0,0
21,4500,-0.85,0.36,0.00,0.45,0.00,-0.22,0,0,0,0
21,5000,-3.08,0.59,0.00,0.27,0.00,-0.14,0,0,0,0
21,5500,-0.78,-0.22,0.00,-0.03,0.00,-0.36,0,0,0,0
21,6000,-2.21,0.25,0.00,0.22,0.00,0.00,0,0,0,0
21,6500,-1.67,0.14,0.00,-0.56,0.00,-0.29,0,0,0,0
21,7000,-1.25,0.59,0.00,-0.17,0.00,-0.24,0,0,0,0
21,7500,-1.49,-0.08,0.00,-0.77,0.00,-0.13,0,0,0,0
21,8000,-1.88,-0.39,0.00,0.18,0.00,-0.15,0,0,0,0
21,8500,-1.79,0.55,0.00,0.15,0.00,-0.14,0,0,0,0
21,9000,-1.88,0.18,0.00,0.21,0.00,-0.21,0,0,0,0
21,9500,-1.94,0.63,0.00,0.01,0.00,-0.25,0,0,0,0
21,10000,-2.41,0.49,0.00,-0.17,0.00,-0.08,0,0,0,0
21,10500,-2.32,0.39,0.00,-0.14,0.00,-0.06,0,0,0,0
21,11000,-2.38,0.11,0.00,-0.18,0.00,0.14,0,0,0,0
21,11500,-1.61,-0.48,0.00,0.32,0.00,-0.15,0,0,0,0
21,12000,-1.46,0.57,0.00,0.35,0.00,-0.11,0,0,0,0
21,12500,-2.59,-0.88,0.00,-0.63,0.00,-0.17,0,0,0,0
21,13000,1.14,-2.48,0.00,-1.81,0.00,-0.27,0,0,0,0
21,13500,-3.45,-0.55,0.00,-0.03,0.00,0.41,0,0,0,0
21,14000,0.06,1.50,0.00,1.06,0.00,0.08,0,0,0,0
21,14500,1.88,0.48,0.00,-0.62,0.00,-0.07,0,0,0,0
21,15000,-1.64,-0.00,0.00,0.21,0.00,-0.07,0,0,0,0
21,15500,-4.21,0.28,0.00,0.73,0.00,0.10,0,0,0,0
21,16000,-3.65,0.10,0.00,0.69,0.00,0.25,0,0,0,0
21,16500,-4.98,-0.25,0.00,0.78,0.00,-0.06,0,0,0,0
21,17000,-4.57,0.06,0.00,1.18,0.00,0.03,0,0,0,0
21,17500,-5.25,0.31,0.00,0.77,0.00,0.21,0,0,0,0
21,18000,-3.65,0.31,0.00,1.16,0.00,0.29,0,0,0,0
21,18500,-4.73,0.35,0.00,0.92,0.00,0.18,0,0,0,0
21,19000,-3.28,0.03,0.00,0.45,0.00,0.21,0,0,0,0
21,19500,-3.93,0.08,0.00,0.99,0.00,0.34,0,0,0,0
21,20000,-3.90,0.13,0.00,1.05,0.00,0.15,0,0,0,0
21,20500,-3.71,-0.17,0.00,0.95,0.00,0.29,0,0,0,0
21,21000,-2.88,0.25,0.00,0.74,0.00,0.27,0,0,0,0
21,21500,-4.13,0.78,0.00,0.73,0.00,-0.01,0,0,0,0
21,22000,-3.79,0.24,0.00,0.69,0.00,0.18,0,0,0,0
21,22500,-3.48,0.59,0.00,0.85,0.00,0.29,0,0,0,0
21,23000,-3.96,-0.10,0.00,1.19,0.00,0.13,0,0,0,0
21,23500,-3.90,-0.20,0.00,1.06,0.00,0.24,0,0,0,0
21,24000,-3.59,0.20,0.00,1.25,0.00,0.11,0,0,0,0
21,24500,-4.35,0.34,0.00,1.18,0.00,0.14,0,0,0,0
21,25000,-3.48,1.11,0.00,1.53,0.00,0.43,0,0,0,0
21,25500,-4.92,-0.98,0.00,0.32,0.00,0.28,0,0,0,0
21,26000,-3.39,0.80,0.00,-0.23,0.00,-0.77,0,0,0,0
21,26500,-3.54,1.19,0.00,1.18,0.00,-0.01,0,0,0,0
21,27000,-2.96,1.11,0.00,1.30,0.00,-0.06,0,0,0,0
21,27500,-3.99,1.12,0.00,1.58,0.00,0.28,0,0,0,0
21,28000,-4.13,1.34,0.00,1.61,0.00,0.20,0,0,0,0
21,28500,-8.49,0.39,0.00,0.56,0.00,0.25,0,0,0,0
21,29000,-4.51,0.95,0.00,0.98,0.00,0.76,0,0,0,0
21,29500,-3.48,0.11,0.00,0.78,0.00,0.63,0,0,0,0
21,30000,-3.34,0.57,0.00,0.92,0.00,0.39,0,0,0,0
21,30500,-4.59,0.36,0.00,0.99,0.00,0.49,0,0,0,0
21,31000,-4.70,0.66,0.00,0.83,0.00,0.27,0,0,0,0
21,31500,-5.60,1.16,0.00,0.07,0.00,0.46,0,0,0,0
21,32000,-2.88,0.41,0.00,1.97,0.00,0.38,0,0,0,0
21,32500,-4.01,0.69,0.00,0.88,0.00,0.21,0,0,0,0
21,33000,-4.81,0.24,0.00,0.69,0.00,0.27,0,0,0,0
21,33500,-4.54,0.39,0.00,0.67,0.00,0.74,0,0,0,0
21,34000,-4.65,0.63,0.00,0.70,0.00,0.41,0,0,0,0
21,34500,-3.42,-1.76,0.00,-0.63,0.00,0.46,0,0,0,0
21,35000,-2.53,-1.72,0.00,-1.58,0.00,0.11,0,0,0,0
21,35500,-4.26,-1.40,0.00,-0.69,0.00,0.35,0,0,0,0
21,36000,-1.49,0.14,0.00,-0.03,0.00,0.29,0,0,0,0
21,36500,-5.62,0.22,0.00,0.99,0.00,-0.08,0,0,0,0
21,37000,-4.92,0.48,0.00,1.95,0.00,0.35,0,0,0,0
21,37500,-4.68,0.32,0.00,0.84,0.00,0.50,0,0,0,0
21,38000,-5.25,0.36,0.00,0.87,0.00,0.50,0,0,0,0
21,38500,-5.41,0.39,0.00,1.06,0.00,0.35,0,0,0,0
21,39000,-5.70,0.10,0.00,0.62,0.00,0.50,0,0,0,0
21,39500,-5.41,0.41,0.00,1.12,0.00,0.48,0,0,0,0
21,40000,-5.57,0.60,0.00,1.27,0.00,0.39,0,0,0,0
21,40500,-5.57,0.69,0.00,1.18,0.00,0.42,0,0,0,0
21,41000,-5.38,0.14,0.00,0.43,0.00,0.63,0,0,0,0
21,41500,-5.73,0.11,0.00,0.76,0.00,0.45,0,0,0,0
21,42000,-4.90,0.10,0.00,0.77,0.00,0.27,0,0,0,0
21,42500,-3.54,0.18,0.00,1.04,0.00,0.38,0,0,0,0
21,43000,-4.40,-0.39,0.00,0.67,0.00,0.64,0,0,0,0
21,43500,-3.39,0.45,0.00,1.22,0.00,0.39,0,0,0,0
21,44000,-4.51,0.41,0.00,0.81,0.00,0.46,0,0,0,0
21,44500,-4.15,0.42,0.00,1.12,0.00,0.55,0,0,0,0
21,45000,-4.68,0.04,0.00,0.70,0.00,0.55,0,0,0,0
21,45500,-4.43,0.39,0.00,1.06,0.00,0.28,0,0,0,0
21,46000,-4.04,0.14,0.00,0.77,0.00,0.39,0,0,0,0
21,46500,-3.87,0.49,0.00,0.69,0.00,0.52,0,0,0,0
21,47000,-3.93,0.04,0.00,0.66,0.00,0.52,0,0,0,0
21,47500,-4.29,0.13,0.00,0.13,0.00,0.50,0,0,0,0
21,48000,-4.37,-0.08,0.00,0.87,0.00,0.55,0,0,0,0
21,48500,-4.54,0.59,0.00,0.95,0.00,0.39,0,0,0,0
21,49000,-4.79,-0.21,0.00,0.38,0.00,0.48,0,0,0,0
21,49500,-5.11,0.35,0.00,0.90,0.00,0.42,0,0,0,0
21,50000,-4.18,0.03,0.00,0.99,0.00,0.48,0,0,0,0
21,50500,-4.37,0.07,0.00,0.57,0.00,0.39,0,0,0,0
21,51000,-4.29,0.14,0.00,0.64,0.00,0.57,0,0,0,0
21,51500,-4.70,0.24,0.00,1.37,0.00,0.36,0,0,0,0
21,52000,-4.70,0.14,0.00,1.08,0.00,0.41,0,0,0,0
21,52500,-4.04,0.21,0.00,1.11,0.00,0.34,0,0,0,0
21,53000,-4.26,0.20,0.00,0.48,0.00,0.48,0,0,0,0
21,53500,-4.10,0.36,0.00,0.63,0.00,0.53,0,0,0,0
21,54000,-4.40,0.28,0.00,0.97,0.00,0.38,0,0,0,0
21,54500,-4.79,0.10,0.00,0.56,0.00,0.49,0,0,0,0
21,55000,-3.87,0.15,0.00,0.85,0.00,0.38,0,0,0,0
21,55500,-4.01,-0.22,0.00,0.57,0.00,0.45,0,0,0,0
21,56000,-4.92,0.27,0.00,0.69,0.00,0.42,0,0,0,0
21,56500,-5.19,0.21,0.00,0.92,0.00,0.25,0,0,0,0
21,57000,-4.87,0.73,0.00,1.06,0.00,0.27,0,0,0,0
21,57500,-4.59,-0.32,0.00,0.31,0.00,0.49,0,0,0,0
21,58000,-4.90,0.35,0.00,0.90,0.00,0.46,0,0,0,0
21,58500,-4.65,0.13,0.00,0.85,0.00,0.31,0,0,0,0
21,59000,-4.32,-0.07,0.00,0.27,0.00,0.62,0,0,0,0
21,59500,-3.90,0.25,0.00,0.73,0.00,0.52,0,0,0,0
21,60000,-3.82,-0.27,0.00,0.34,0.00,0.53,0,0,0,0
21,60500,-4.37,0.13,0.00,0.81,0.00,0.55,0,0,0,0
21,61000,-4.46,-0.17,0.00,0.49,0.00,0.38,0,0,0,0
21,61500,-3.68,0.06,0.00,0.57,0.00,0.31,0,0,0,0
21,62000,-3.93,0.13,0.00,0.36,0.00,0.42,0,0,0,0
